criterion,depth,accuracy,nodes
IG,0,0.98871,237
IG,1,0.579032,3
IG,2,0.980645,7
IG,3,0.98871,15
IGR,0,0.987097,237
IGR,1,0.593548,3
IGR,2,0.985484,7
IGR,3,0.98871,15
NWIG,0,0.98871,237
NWIG,1,0.564516,3
NWIG,2,0.98871,7
NWIG,3,0.98871,15
